24.95,3179
15.6,5141
15.38,136
15.16,6174
19.99,4293
17.4,2439
19.64,4988
28.85,5710
22.5,5643
27.86,4117
19.3,4904
23.89,5147
21.84,4136
16.18,3344
17.94,2850
18.53,3330
15.95,4295
23.26,4689
15.95,1894
17.51,3183
17.51,3183
24.81,4354
16.52,620
16.19,3660
24.16,3655
15.55,5380
18.37,4511
22.41,5220
23.24,5618
27.81,3970
24.0,4433
20.29,4196
23.47,3821
21.62,4527
15.68,1104
15.15,1342
15.29,4842
24.12,3035
15.44,5712
18.11,4233
16.99,3421
18.68,4426
18.68,4426
18.68,4426
24.42,5619
17.36,5223
15.42,5711
16.8,5909
24.81,3484
23.0,4274
17.0,2035
17.0,2035
23.09,4767
16.66,5935
21.67,3841
22.67,4587
21.33,5027
29.44,4232
16.98,2831
15.18,2206
21.42,5393
20.22,3656
20.22,3656
22.07,3813
21.56,4224
21.56,4224
26.19,4392
19.01,3604
18.87,3572
21.27,4990
16.82,2720
16.12,2446
16.12,2446
27.28,4850
24.77,5381
18.08,2977
26.76,3698
16.6,4548
18.96,3098
17.36,3887
16.01,946
16.61,3251
18.18,4904
23.19,4276
15.58,1104
21.39,1021
27.44,4125
15.69,156
15.43,1574
15.67,4594
19.55,5615
