23.11,4430
17.16,4268
17.14,2425
16.32,3011
19.39,4307
26.77,4692
26.77,4692
23.55,2854
16.64,3574
15.83,551
15.83,551
17.91,4582
15.98,1735
22.61,4557
22.95,5448
15.12,1025
24.04,2806
23.33,2720
17.05,2798
19.21,3345
19.21,3345
23.54,4212
17.98,379
23.06,4440
22.63,3666
26.6,3899
20.16,4355
26.99,3884
15.54,535
24.16,4348
15.63,2918
15.63,2918
26.98,5723
20.48,3407
15.1,3232
16.8,6112
29.77,3205
29.77,3205
16.64,5003
19.11,3532
16.86,4725
15.01,551
24.23,3518
28.13,3494
20.01,5456
17.02,5142
18.53,1973
24.44,3590
15.05,3187
15.05,3187
18.57,3640
18.25,3574
18.46,3750
21.7,2850
15.63,4048
24.27,5786
16.52,5108
26.27,3644
23.74,4019
28.08,2854
24.91,4427
25.92,4677
15.54,1342
15.96,1256
16.14,709
20.29,2936
17.14,1735
15.58,1735
17.7,6038
19.59,5067
15.32,4014
16.19,2880
23.69,3896
19.54,3014
31.85,4476
22.68,5000
18.09,5787
17.85,6105
15.36,1894
15.37,2209
17.07,3733
19.78,2721
21.21,4688
