22.8,4271
26.81,3012
17.39,4194
22.14,2694
21.22,5061
17.33,5458
22.25,4040
30.59,3405
30.59,3405
18.68,3394
18.43,5538
22.88,5486
15.77,6098
35.06,3650
35.06,3650
21.71,5062
30.58,4756
30.58,4756
30.58,4756
25.69,5177
17.13,5087
16.96,154
17.95,5780
17.32,3588
18.4,3522
21.77,5461
21.77,5461
25.73,2933
18.89,2936
18.89,2936
18.89,2936
23.98,3110
22.93,4005
17.13,4619
16.93,1657
23.5,4765
22.45,3136
26.59,2336
22.71,4504
22.71,4504
21.66,4520
16.38,1495
31.94,3889
28.07,3602
34.09,4040
18.74,4955
19.44,4349
28.51,4518
19.27,5065
25.17,4115
18.73,3268
22.88,3618
16.16,5728
27.86,3097
27.86,3097
24.45,3102
24.45,3102
29.94,4215
15.33,937
21.11,3343
22.08,3303
21.2,2984
22.86,3742
35.11,3908
21.98,3051
17.85,1406
26.38,5487
15.18,1736
17.95,1657
27.28,3596
17.94,4347
17.55,4966
21.32,5111
15.41,6023
30.46,4590
20.9,3106
20.9,3106
25.86,4908
15.05,1493
15.51,4427
22.63,3515
30.3,3966
19.3,786
15.41,2910
18.62,697
31.69,3821
23.21,5725
24.58,4829
23.48,4509
19.88,4682
17.67,5141
18.83,5795
17.59,4794
15.58,4420
30.39,3969
28.17,3778
28.88,3820
24.27,3704
17.46,471
27.48,3111
22.38,3166
20.86,2695
24.37,3718
30.35,3103
26.45,4040
22.93,2890
17.04,4303
16.27,5761
18.64,4549
18.64,4549
31.72,3907
23.89,4426
15.28,1723
18.64,4525
18.41,6174
15.15,5721
28.6,3030
24.41,2723
21.56,5699
18.29,4860
